mz,rt,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,isotopes,adduct
#,#,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,#,#
69.07028727,163.7394992,723.7557117,570.8074009,1062.566994,820.4520595,872.1537933,1111.668406,294.3508371,899.2779313,397.67894,694.2234092,567.4816549,1491.761724,2269.9105,937.5769702,1106.823675,1579.639144,495.197264,863.1892509,1294.379809,1095.828772,2409.93546,1208.72178,790.3920447,1154.942073,293.7770269,6627.851881,3224.770653,341.8396961,372.7142314,411.7788281,16584.07446,2023.959236,1142.77428,198.8296445,1089.882414,2793.679841,1074.935773,6797.008756,717.686283,1289.202868,2311.224622,1272.347569,2441.870982,1021.519577,1901.104223,915.866409,1519.811811,1156.73706,364.6243471,1199.478367,,[M+2H]2+ 136.121
68.99409986,19.09750072,364.5301266,532.9036221,2120.490697,1489.43619,366.1332878,1634.935555,369.7310799,1645.391548,1595.370154,483.1514588,999.9560374,1633.763919,1366.875041,3376.779533,1625.467607,1482.346156,637.8403714,927.5314696,1393.538625,978.790654,1405.055368,1034.834206,2462.361794,1048.849479,426.2979279,1325.796592,2475.482004,731.3324781,803.6875306,1056.111388,4833.081516,516.5316006,1214.732349,872.340704,872.9608287,824.8276001,1533.758394,1169.62968,759.1600802,2209.811258,1402.824578,879.1822076,1776.839389,1365.153785,1977.740275,999.256743,1102.979709,1192.944663,1128.020519,1952.505609,,[M+3H-CH4]3+ 219.99 [M+3H-CH4]3+ 219.99
70.01485309,568.0239996,3272.245652,2347.795577,3973.222639,3598.108152,3416.700378,4867.452172,2477.809868,4107.159202,4706.813292,2470.277013,3111.407756,2979.534468,3348.566754,4707.231148,2697.111786,5034.856273,2469.246103,2395.227463,3212.851324,2905.819228,2686.534461,3552.343202,4106.369004,2911.570778,2513.524914,3933.559846,4980.1169,2770.418071,5066.653925,2620.508135,3625.742187,4468.477827,2497.753204,2690.61014,2941.337221,3211.244495,3014.385276,4846.917237,3359.607549,4664.582778,2967.561142,3545.397586,3952.159707,4274.991851,3843.085322,2067.417911,3330.689242,2874.35338,3320.350551,4777.799946,,[M+2H-CO]2+ 166.006
70.06804016,24.64700033,3053.285338,479.7288633,828.2180289,750.0151281,508.4501928,791.5776371,171.4200778,914.2932656,651.2563718,493.3930475,570.9918614,3279.45476,2450.760039,1290.87469,996.008154,972.7230968,991.2636388,1484.873388,736.0769497,948.1002924,1398.917829,516.3870708,1057.017245,788.6394845,270.0968887,2270.346233,4449.107557,749.2408944,660.213777,758.1897988,5575.853484,1466.788196,786.9122725,594.5205624,1558.639343,3170.723851,2571.883165,4016.867317,818.3105912,2551.251382,1356.463159,1676.120489,4029.12781,2596.509356,1929.344176,835.7532072,1128.004894,854.7204506,650.1280975,1029.543752,,
70.96626043,573.8409958,387.9645406,213.9046704,660.2142836,462.7643857,376.3099317,442.4951259,291.8635194,601.5915962,606.9868825,250.421023,296.2786146,602.0920034,329.2965875,825.3668025,777.0925591,427.9851354,193.6782695,517.8059773,429.3838899,323.025199,387.6492173,409.7316226,717.661006,352.0741749,200.7774239,626.087935,676.2256878,314.7333024,442.7971032,383.9754658,870.6815478,364.2162236,804.1399965,538.600595,237.5454209,164.8673568,658.3785214,486.7285298,326.2195655,709.7733328,305.2201608,483.5763876,669.2624121,500.2761615,636.9485014,436.2804285,510.211147,463.0763196,371.8598301,1094.232999,,
71.04894494,123.6774982,672.9991232,527.878095,883.1644271,699.2496655,926.7294118,1878.150652,386.7134699,938.5831493,376.9765139,549.2954594,303.6833692,826.6330795,945.3461581,875.8952478,752.4219216,1078.669234,640.0559957,560.4152963,697.972066,1100.066512,1072.259284,1145.233607,824.6398864,910.959137,275.5929315,4282.689928,471.5123167,649.739298,488.4997058,546.8816373,4107.174787,787.6389666,542.9342971,202.4266945,1349.678044,2592.745761,984.1348067,2141.254457,824.8712295,460.7339084,1448.67796,1053.539769,905.1626346,518.8258333,882.2153931,514.0625728,831.2505065,621.5418827,538.0856942,538.2940645,,
72.07862908,24.16350071,3955.688232,704.1556843,920.3777372,1046.226114,764.9920761,1400.083711,728.0772436,1176.876885,1640.472699,1388.953705,908.4687089,1935.08633,1677.150213,1370.975725,1391.522251,1843.793392,1312.224065,932.339657,905.7869611,1758.839705,2027.931794,1423.881434,1808.568092,1538.739546,632.678566,1954.045542,3858.178562,1382.105745,690.1984414,894.6811888,4862.9925,1827.545268,789.0892623,415.8169513,1989.048972,1352.593941,1721.393685,2237.795622,1438.53917,1962.782707,2364.807888,1782.916714,1307.599964,2925.870105,1157.450003,1195.205666,1655.250043,1384.618636,1265.02363,634.3338715,,
72.93854998,573.2645046,1921.706749,683.1471788,2369.095772,1562.202677,1045.846306,987.6412989,775.9416219,1698.626157,1485.314502,722.9691035,941.5189614,2269.833884,1001.383834,2683.314798,3419.733024,1006.616997,659.982935,2159.216837,1270.84895,1364.845602,1552.276601,1399.797815,2720.3326,1438.595121,642.7959556,2037.965655,2710.920748,1361.724529,974.8661885,1358.243595,4611.504792,1156.914658,3697.145742,2117.87687,698.3543076,2002.854674,2658.443261,1362.438592,1115.129049,3006.653175,1363.41212,1700.908218,2328.066789,1747.30822,2405.579166,2089.711732,1852.933627,1867.332714,1329.294446,3800.432541,,
73.06352319,163.2379998,201.6980716,158.4144751,220.6863003,174.0195491,141.8544276,199.6531521,110.5114189,178.5907904,107.590431,122.9698136,116.5853266,295.9230813,474.3617934,186.6481561,250.1045911,322.0035856,107.0937494,185.1655928,469.8962268,245.7295925,416.3056572,224.8464566,163.7865183,232.7414166,70.38889074,1208.793468,586.7385746,86.45830123,100.7298931,103.7658181,2961.125979,673.8798155,223.7106709,54.88406349,227.6381199,507.7492323,242.7467638,1224.542421,175.1432443,294.690741,416.4988333,265.9635178,480.9944708,349.4440155,327.8728211,179.3320246,281.1720851,225.3337071,99.55244079,226.6531131,,
73.5297096,15.69200068,737.0011906,1058.698299,304.4635863,561.0425426,178.6741283,1197.05449,515.4999356,217.5377012,321.2189098,1137.05205,927.8851588,310.4196892,1256.227838,417.2136719,177.7282833,1298.773389,1764.034355,441.0965566,470.8959946,798.7147471,737.136295,278.5377633,288.8253549,931.9818071,737.4103875,382.0543943,648.5465259,682.3785578,842.0105519,623.3250529,746.7973746,177.7368976,191.3051713,343.461886,2046.745986,1835.324449,360.2420308,1198.195354,716.5760093,715.5154637,1384.293539,210.9497402,103.9555811,619.4081133,322.6784799,314.4112853,203.5576122,378.7234955,792.3143519,117.8677554,,[M+2H-COCH2]2+ 187.056
